Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
31 de jul. de 2026 - 22 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,,"asin-expanded=""B01M0RM7M9""",TARGETING_EXPRESSION,188523215946847,0.55,146788124202114,campanha de produto indicado,BRL,19,0,0.0000%,,0.00,0.00,0,,0,
2 de ago. de 2026 - 9 de ago. de 2026,"=""19556674217425""",Campanha de Palavra-Chave- P3070-o116/07,"=""193722055453991""",Campanha de Palavra-Chave- P3070-o116/07,,lixeira inox para banheiro,EXACT,26322701583293,1.32,178029480993742,campanha de palavra chave,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 10 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B0H2KJBVGY""",TARGETING_EXPRESSION,225002641809687,0.58,146788124202114,campanha de produto indicado,BRL,6,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 29 de jul. de 2026,"=""227010809046493""",campanha automática individual- L2470-CZ-o102/07,"=""481100214225083""",campanha automática individual- L2470-CZ-o102/07,,close-match,TARGETING_EXPRESSION_PREDEFINED,317773898164642,1.1,1383289894499,campanha automatica individual,BRL,137,1,0.7299%,1.89000,1.89,0.00,0,0.0000%,0,0.00000
5 de ago. de 2026 - 17 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0H1TYSM8J""",TARGETING_EXPRESSION,238124961522086,1.1,146788124202114,campanha de produto indicado,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 29 de jul. de 2026,"=""70230654464817""",Campanha de Produto Indicado- L2440-AML-o103/07,"=""202389980731948""",Campanha de Produto Indicado- L2440-AML-o103/07,,"asin-expanded=""B085ZX7344""",TARGETING_EXPRESSION,23403606962047,1.1,146788124202114,campanha de produto indicado,BRL,7,0,0.0000%,,0.00,0.00,0,,0,
30 de jul. de 2026 - 3 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin=""B0D1S21PK1""",TARGETING_EXPRESSION,236055668768176,0.9,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
29 de jul. de 2026 - 20 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,,"asin-expanded=""B076TFGQZ7""",TARGETING_EXPRESSION,266363124189478,0.55,146788124202114,campanha de produto indicado,BRL,9,0,0.0000%,,0.00,0.00,0,,0,
1 de ago. de 2026 - 10 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B07P6Y41SL""",TARGETING_EXPRESSION,109706601101797,0.58,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
13 de ago. de 2026 - 13 de ago. de 2026,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""37073533131431""",Campanha Manual Palavra-Chave L3070-B,,lixeira 50 litros basculante,PHRASE,180732004837932,1.0,99873185432506,Campanhas Manuais Claude,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
27 de jul. de 2026 - 23 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B077KD9G7K""",TARGETING_EXPRESSION,111714128119059,1.1,146788124202114,campanha de produto indicado,BRL,79,1,1.2658%,1.09000,1.09,0.00,0,0.0000%,0,0.00000
29 de jul. de 2026 - 8 de ago. de 2026,"=""139517395374433""",Campanha de Palavra-Chave- P4080-o116/07,"=""105959590738663""",Campanha de Palavra-Chave- P4080-o116/07,,lixeira inox grande,EXACT,124059695695272,1.44,178029480993742,campanha de palavra chave,BRL,8,1,12.5000%,2.27000,2.27,0.00,0,0.0000%,0,0.00000
27 de jul. de 2026 - 6 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B08XQZGWGN""",TARGETING_EXPRESSION,158553220879733,0.58,146788124202114,campanha de produto indicado,BRL,6,0,0.0000%,,0.00,0.00,0,,0,
29 de jul. de 2026 - 23 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin=""B0H37KRPHM""",TARGETING_EXPRESSION,65792207550930,0.9,146788124202114,campanha de produto indicado,BRL,71,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""163724971822822""",campanha automática individual- PXM-o228/07,"=""560459911677559""",campanha automática individual- PXM-o228/07,,complements,TARGETING_EXPRESSION_PREDEFINED,321148583130922,1.32,1383289894499,campanha automatica individual,BRL,26,0,0.0000%,,0.00,0.00,0,,0,
11 de ago. de 2026 - 11 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""113839187289861""",Campanha de Produto Indicado- P3050-o228/07,,"asin-expanded=""B0CFG9ZHWF""",TARGETING_EXPRESSION,15782193727587,0.55,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
1 de ago. de 2026 - 1 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0GZJ412QP""",TARGETING_EXPRESSION,137721240581047,0.69,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 28 de jul. de 2026,"=""145964185460140""",campanha automática individual- P3070-o116/07,"=""429470627552062""",campanha automática individual- P3070-o116/07,,complements,TARGETING_EXPRESSION_PREDEFINED,470222648019481,1.1,1383289894499,campanha automatica individual,BRL,28,1,3.5714%,1.42000,1.42,0.00,0,0.0000%,0,0.00000
26 de jul. de 2026 - 23 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0F4T8FCDD""",TARGETING_EXPRESSION,160398547205471,1.1,146788124202114,campanha de produto indicado,BRL,162,1,0.6173%,0.66000,0.66,0.00,0,0.0000%,0,0.00000
26 de jul. de 2026 - 26 de jul. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""113839187289861""",Campanha de Produto Indicado- P3050-o228/07,,"asin-expanded=""B0GH8CPMMP""",TARGETING_EXPRESSION,73352425779031,0.55,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 10 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0FX37MH6M""",TARGETING_EXPRESSION,120539370606006,0.69,146788124202114,campanha de produto indicado,BRL,19,0,0.0000%,,0.00,0.00,0,,0,
5 de ago. de 2026 - 23 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0GZ59P5FC""",TARGETING_EXPRESSION,107952825043951,1.0,146788124202114,campanha de produto indicado,BRL,48,0,0.0000%,,0.00,0.00,0,,0,
26 de jul. de 2026 - 10 de ago. de 2026,"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""7667999543220""",Campanha de Palavra-Chave- L2030-B-o103/07,,lixeira basculante 10 litros,PHRASE,29550594764214,1.2,178029480993742,campanha de palavra chave,BRL,8,0,0.0000%,,0.00,0.00,0,,0,
29 de jul. de 2026 - 23 de ago. de 2026,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""107384110271466""",Campanha de Produto Indicado- PXP-o103/07,,"asin-expanded=""B08B7VD1RX""",TARGETING_EXPRESSION,131527396978143,0.92,146788124202114,campanha de produto indicado,BRL,15,0,0.0000%,,0.00,0.00,0,,0,
29 de jul. de 2026 - 3 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B085ZVHTW5""",TARGETING_EXPRESSION,143532203082383,0.69,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
27 de jul. de 2026 - 21 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0F7RN8KDN""",TARGETING_EXPRESSION,45314234657504,0.78,146788124202114,campanha de produto indicado,BRL,21,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 10 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0DZV82N4P""",TARGETING_EXPRESSION,150248917291828,0.69,146788124202114,campanha de produto indicado,BRL,10,0,0.0000%,,0.00,0.00,0,,0,
30 de jul. de 2026 - 8 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B076TJJ1RQ""",TARGETING_EXPRESSION,222657098372628,0.58,146788124202114,campanha de produto indicado,BRL,4,0,0.0000%,,0.00,0.00,0,,0,
11 de ago. de 2026 - 23 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro,,lixeira banheiro 7 litros,EXACT,135264806059930,1.5,99873185432506,Campanhas Manuais Claude,BRL,347,2,0.5764%,1.43000,2.86,0.00,0,0.0000%,0,0.00000
25 de jul. de 2026 - 9 de ago. de 2026,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,,"asin-expanded=""B0H2FLFLTX""",TARGETING_EXPRESSION,69768099648755,0.69,146788124202114,campanha de produto indicado,BRL,15,0,0.0000%,,0.00,0.00,0,,0,
26 de jul. de 2026 - 22 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B08HJR5TDG""",TARGETING_EXPRESSION,258730757546008,1.1,146788124202114,campanha de produto indicado,BRL,28,1,3.5714%,1.10000,1.10,0.00,0,0.0000%,0,0.00000
25 de jul. de 2026 - 23 de ago. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o228/07,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o228/07,,"asin-expanded=""B07WSSFQNV""",TARGETING_EXPRESSION,57194167593599,0.5,146788124202114,campanha de produto indicado,BRL,415,0,0.0000%,,0.00,0.00,0,,0,
11 de ago. de 2026 - 23 de ago. de 2026,"=""78244851008766""",Campanha automática individual EGC,"=""394021670034987""",Campanha automática individual EGC,,substitutes,TARGETING_EXPRESSION_PREDEFINED,304331317553305,,1383289894499,campanha automatica individual,BRL,181,2,1.1050%,0.55500,1.11,0.00,0,0.0000%,0,0.00000
28 de jul. de 2026 - 10 de ago. de 2026,"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,"=""64600466795928""",Campanha de Palavra-Chave- PXM-o116/07,,suporte para extintor 6kg,PHRASE,233892478586654,1.44,178029480993742,campanha de palavra chave,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
26 de jul. de 2026 - 16 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B09YDKHT3H""",TARGETING_EXPRESSION,191870832568234,1.1,146788124202114,campanha de produto indicado,BRL,107,0,0.0000%,,0.00,0.00,0,,0,
27 de jul. de 2026 - 23 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""113839187289861""",Campanha de Produto Indicado- P3050-o228/07,,"asin-expanded=""B0FLJCGGZW""",TARGETING_EXPRESSION,247718591638078,0.55,146788124202114,campanha de produto indicado,BRL,7,0,0.0000%,,0.00,0.00,0,,0,
25 de jul. de 2026 - 16 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B08D8NFYZL""",TARGETING_EXPRESSION,94374351652094,1.0,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
31 de jul. de 2026 - 11 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B07MHD9HRB""",TARGETING_EXPRESSION,7166846400364,0.78,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
26 de jul. de 2026 - 17 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B076JLG2PV""",TARGETING_EXPRESSION,76095957983871,0.78,146788124202114,campanha de produto indicado,BRL,14,0,0.0000%,,0.00,0.00,0,,0,
